year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,12,7,1154,-6,1356,-4,US,N122US,725,JFK,CLT,101,541,11,54
2013,4,24,2253,123,5,101,EV,N14562,3852,EWR,BUF,53,282,22,53
2013,6,8,1839,-1,2120,-12,DL,N3751B,1629,JFK,LAS,319,2248,18,39
2013,10,8,821,-8,1007,-22,MQ,N528MQ,3478,LGA,DTW,77,502,8,21
2013,11,1,1058,-2,1227,-23,WN,N266WN,1341,LGA,BNA,124,764,10,58
2013,9,18,933,-7,1037,-43,AA,N514AA,317,LGA,ORD,101,733,9,33
2013,7,5,920,5,1204,-6,AA,N328AA,1,JFK,LAX,302,2475,9,20
2013,7,25,752,-3,917,2,MQ,N6EAMQ,3709,EWR,ORD,103,719,7,52
2013,12,24,838,38,1104,32,UA,N556UA,561,LGA,DEN,237,1620,8,38
2013,4,12,840,20,1240,28,B6,N655JB,403,JFK,SJU,186,1598,8,40
2013,5,13,1825,-4,2000,-35,DL,N919DE,2131,LGA,DTW,77,502,18,25
2013,12,18,730,0,1038,-2,AA,N3KCAA,29,LGA,PBI,140,1035,7,30
2013,7,21,2231,121,2332,96,9E,N8488D,4218,JFK,PHL,25,94,22,31
2013,8,22,1108,-7,1352,-12,UA,N597UA,703,JFK,LAX,292,2475,11,8
2013,3,13,1229,89,1342,87,MQ,N511MQ,3792,JFK,DCA,53,213,12,29
2013,10,27,1944,15,2112,17,EV,N12569,4224,EWR,MKE,117,725,19,44
2013,3,21,1850,30,2020,25,WN,N280WN,962,LGA,BNA,116,764,18,50
2013,11,27,1421,-8,1709,6,B6,N316JB,477,JFK,JAX,148,828,14,21
2013,11,4,1822,413,2143,434,AA,N3GRAA,1139,LGA,DFW,210,1389,18,22
2013,1,8,902,-3,1006,-17,B6,N281JB,56,JFK,BTV,47,266,9,2
2013,9,9,1821,8,2053,-35,UA,N24202,1416,EWR,SNA,307,2434,18,21
2013,3,27,1158,-2,1455,-16,DL,N721TW,863,JFK,LAX,336,2475,11,58
2013,3,5,756,-4,1011,11,B6,N353JB,219,JFK,CLT,86,541,7,56
2013,12,26,958,-7,1141,-14,MQ,N817MQ,3572,LGA,CLE,78,419,9,58
2013,12,9,1922,-8,2234,-2,DL,N989DL,1485,LGA,MCO,149,950,19,22
2013,11,8,818,8,1114,8,UA,N37409,1148,EWR,TPA,149,997,8,18
2013,4,24,1539,-2,1814,-14,UA,N73291,1110,EWR,LAS,316,2227,15,39
2013,11,30,807,-8,1103,-20,B6,N179JB,281,JFK,HOU,214,1428,8,7
2013,9,28,750,-5,849,-21,MQ,N807MQ,3370,JFK,DCA,39,213,7,50
2013,7,1,2007,82,2123,53,AA,N547AA,359,LGA,ORD,112,733,20,7
2013,9,29,2003,-2,2108,-22,MQ,N509MQ,3604,EWR,ORD,103,719,20,3
2013,4,15,625,-5,752,-13,AA,N589AA,303,LGA,ORD,118,733,6,25
2013,7,21,1012,-8,1149,-17,US,N122US,1501,EWR,CLT,79,529,10,12
2013,10,30,1042,24,1219,4,EV,N11127,4297,EWR,DTW,80,488,10,42
2013,2,6,1637,-3,1851,1,MQ,N725MQ,4540,LGA,DTW,92,502,16,37
2013,8,11,2055,11,50,8,UA,N76514,1071,EWR,BQN,196,1585,20,55
2013,6,20,2020,13,2257,-2,B6,N598JB,1505,JFK,ABQ,232,1826,20,20
2013,5,26,1417,-8,1529,-21,B6,N184JB,8,JFK,BUF,56,301,14,17
2013,9,8,1818,4,1958,2,UA,N33266,1053,EWR,CLE,65,404,18,18
2013,10,2,2243,-7,2359,-8,B6,N183JB,2002,JFK,BUF,58,301,22,43
2013,7,26,1433,4,1753,54,MQ,N527MQ,3669,LGA,ATL,115,762,14,33
2013,5,25,1610,-5,1827,-13,MQ,N525MQ,4657,LGA,ATL,102,762,16,10
2013,12,6,2052,-8,2238,32,US,N957UW,2164,LGA,BOS,40,184,20,52
2013,8,7,850,-5,1122,-34,UA,N39726,1058,LGA,IAH,177,1416,8,50
2013,3,25,1329,-1,1615,-25,AA,N3JYAA,753,LGA,DFW,206,1389,13,29
2013,7,10,1153,-7,1303,-6,US,N955UW,2126,LGA,BOS,32,184,11,53
2013,11,24,553,-7,734,-9,EV,N14923,5824,EWR,CLE,75,404,5,53
2013,11,20,2044,4,2243,-19,EV,N13132,4085,EWR,OMA,163,1134,20,44
2013,11,13,1233,-7,1345,-11,9E,N908XJ,3371,LGA,SYR,42,198,12,33
2013,12,3,2126,-4,2229,-16,MQ,N817MQ,3621,JFK,DCA,39,213,21,26
2013,1,15,1947,167,2241,171,AA,N5EGAA,575,JFK,EGE,265,1747,19,47
2013,8,28,2153,143,13,109,DL,N387DA,1485,LGA,MCO,116,950,21,53
2013,4,8,1325,-5,1608,2,B6,N354JB,127,EWR,MCO,130,937,13,25
2013,7,8,1732,23,2034,40,B6,N565JB,327,EWR,MCO,138,937,17,32
2013,1,1,1454,-4,1554,-21,EV,N11544,4390,EWR,PWM,47,284,14,54
2013,11,4,1022,-8,1139,-5,EV,N18102,6181,EWR,IAD,45,212,10,22
2013,5,6,1016,-4,1158,-18,9E,N916XJ,3341,EWR,DTW,80,488,10,16
2013,2,11,2329,179,312,203,B6,N183JB,1069,JFK,AUS,261,1521,23,29
2013,10,21,2017,-5,2154,-6,UA,N26208,1464,EWR,CLE,68,404,20,17
2013,7,1,758,-2,1154,-6,AA,N5FGAA,655,JFK,STT,198,1623,7,58
2013,9,9,2058,-10,2256,-32,B6,N206JB,775,JFK,MSY,146,1182,20,58
2013,9,28,1652,32,2013,33,AA,N3DYAA,1410,LGA,MIA,138,1096,16,52
2013,7,29,1648,7,1909,-4,EV,N14907,3854,EWR,ATL,105,746,16,48
2013,4,6,923,-6,1019,-25,EV,N12563,4636,EWR,DCA,41,199,9,23
2013,4,21,1640,-5,1835,-23,9E,N8960A,3881,EWR,CVG,93,569,16,40
2013,6,2,2235,100,118,79,UA,N406UA,492,EWR,FLL,138,1065,22,35
2013,7,4,1125,0,1411,-29,AA,N3BNAA,2099,LGA,MIA,150,1096,11,25
2013,8,1,611,-3,800,-8,US,N107US,2063,JFK,CLT,81,541,6,11
2013,6,20,1729,23,1903,15,EV,N27962,5977,EWR,RDU,68,416,17,29
2013,1,30,1306,-9,1430,-1,EV,N13969,4120,EWR,BUF,61,282,13,6
2013,6,30,1931,116,2209,99,AA,N3FXAA,1901,JFK,IAH,193,1417,19,31
2013,12,30,1154,9,1338,23,WN,N961WN,172,LGA,MDW,123,725,11,54
2013,7,17,648,-2,923,-8,B6,N594JB,525,JFK,TPA,132,1005,6,48
2013,11,7,1242,52,1410,45,WN,N423WN,3566,LGA,BNA,130,764,12,42
2013,5,1,848,-2,1220,-28,DL,N721TW,301,JFK,SJU,189,1598,8,48
2013,11,21,1153,-2,1415,-10,UA,N803UA,586,EWR,DEN,238,1605,11,53
2013,10,3,716,-9,951,-24,AA,N4YSAA,1381,EWR,DFW,184,1372,7,16
2013,6,9,1914,-2,2234,9,UA,N26208,1439,EWR,LAX,317,2454,19,14
2013,6,11,556,-9,911,1,AA,N3EXAA,1837,LGA,MIA,160,1096,5,56
2013,4,12,1336,-4,1653,13,AA,N3DBAA,753,LGA,DFW,210,1389,13,36
2013,6,2,732,-8,943,-21,B6,N368JB,611,JFK,JAX,116,828,7,32
2013,12,11,939,-6,1306,6,AA,N542AA,1223,EWR,DFW,231,1372,9,39
2013,10,11,1010,10,1257,23,9E,N922XJ,3574,LGA,IND,90,660,10,10
2013,9,16,1730,-5,2008,-2,UA,N27421,1580,EWR,LAS,285,2227,17,30
2013,7,24,1641,0,1904,-9,EV,N12996,3854,EWR,ATL,123,746,16,41
2013,4,30,1742,3,1952,-10,FL,N261AT,722,LGA,ATL,108,762,17,42
2013,3,2,1158,-7,1457,4,B6,N584JB,523,EWR,MCO,164,937,11,58
2013,5,5,1503,13,1650,15,MQ,N827MQ,4403,JFK,RDU,76,427,15,3
2013,11,26,1545,0,1900,-20,AA,N324AA,133,JFK,LAX,334,2475,15,45
2013,8,20,800,-2,903,-13,UA,N14731,1199,EWR,BOS,38,200,8,0
2013,12,30,2202,292,130,283,B6,N595JB,415,JFK,SFO,361,2586,22,2
2013,4,27,1256,-3,1542,-1,UA,N17122,1641,EWR,MCO,133,937,12,56
2013,5,7,2036,55,2220,34,EV,N14920,4361,EWR,TYS,84,631,20,36
2013,8,24,1017,12,1113,-7,MQ,N517MQ,3611,EWR,ORD,101,719,10,17
2013,7,9,1822,47,2052,97,WN,N286WN,19,EWR,STL,118,872,18,22
2013,12,15,2149,134,41,123,UA,N36476,1269,EWR,PBI,152,1023,21,49
2013,7,21,1223,-7,1345,-7,B6,N266JB,2502,JFK,BUF,57,301,12,23
2013,8,22,2156,164,2341,146,EV,N13975,4509,EWR,CLT,83,529,21,56
2013,4,16,1745,8,1937,-7,DL,N320US,2331,LGA,DTW,87,502,17,45
2013,2,7,1505,-5,1717,-28,MQ,N638MQ,4309,JFK,IND,112,665,15,5
2013,2,1,900,-4,1038,-15,UA,N33284,1602,EWR,CLE,70,404,9,0
2013,11,12,859,0,1237,38,AA,N3FHAA,1121,LGA,DFW,209,1389,8,59
2013,9,8,2013,-2,2234,-10,EV,N14162,4333,EWR,TUL,160,1215,20,13
2013,12,24,855,0,1153,11,UA,N13716,1162,EWR,JAC,269,1874,8,55
2013,8,9,948,-1,1232,-12,UA,N37252,1211,EWR,FLL,150,1065,9,48
2013,3,14,1359,9,1540,-5,MQ,N511MQ,4577,LGA,CLT,83,544,13,59
2013,9,11,1528,-2,1728,13,WN,N469WN,1013,LGA,STL,134,888,15,28
2013,6,12,1358,-1,1615,-17,DL,N6700,2247,LGA,ATL,106,762,13,58
2013,3,31,1810,-5,2017,-19,9E,N928XJ,3470,JFK,DTW,84,509,18,10
2013,2,7,734,-6,1027,-38,DL,N647DL,1889,JFK,SEA,330,2422,7,34
2013,1,4,1942,-3,2249,-40,B6,N637JB,645,JFK,SFO,333,2586,19,42
2013,10,25,1857,-8,2109,31,EV,N741EV,5383,LGA,ROC,45,254,18,57
2013,2,7,555,-5,920,9,B6,N618JB,135,JFK,RSW,174,1074,5,55
2013,11,24,1920,-5,2218,-27,AA,N3FHAA,2437,LGA,MIA,146,1096,19,20
2013,3,24,2005,5,2248,-37,UA,N39726,1466,EWR,LAX,315,2454,20,5
2013,2,15,1818,13,1948,-2,WN,N216WR,551,LGA,BNA,130,764,18,18
2013,9,17,1341,-6,1609,-22,UA,N816UA,431,EWR,DFW,182,1372,13,41
2013,10,31,1044,-1,1356,-1,DL,N319NB,954,LGA,FLL,153,1076,10,44
2013,6,13,806,-9,1045,15,9E,N919XJ,3538,JFK,MSP,157,1029,8,6
2013,11,19,1629,-6,1756,-19,MQ,N614MQ,2949,JFK,BNA,126,765,16,29
2013,3,13,2051,68,2150,57,EV,N14923,4312,EWR,DCA,45,199,20,51
2013,9,17,1437,-8,1736,-22,UA,N505UA,841,JFK,LAX,325,2475,14,37
2013,8,18,1051,-4,1335,-23,B6,N746JB,971,LGA,FLL,148,1076,10,51
2013,3,5,1153,-7,1526,15,DL,N717TW,863,JFK,LAX,343,2475,11,53
2013,1,8,1859,-6,2158,-27,AA,N322AA,21,JFK,LAX,337,2475,18,59
2013,4,25,1638,-7,1949,-15,B6,N298JB,139,JFK,RSW,163,1074,16,38
2013,10,18,1755,56,2031,61,EV,N14959,4705,EWR,ATL,123,746,17,55
2013,3,18,1607,-3,1742,-2,9E,N928XJ,3354,JFK,BOS,33,187,16,7
2013,2,11,2010,215,2324,213,B6,N279JB,139,JFK,RSW,162,1074,20,10
2013,4,1,923,-6,1039,-5,EV,N16918,4636,EWR,DCA,60,199,9,23
2013,2,28,816,-4,922,-17,9E,N8797A,4051,JFK,BWI,42,184,8,16
2013,10,4,1122,-3,1414,-11,UA,N554UA,398,JFK,LAX,323,2475,11,22
2013,4,8,1150,-10,1502,-3,AA,N336AA,3,JFK,LAX,345,2475,11,50
2013,9,20,1948,-12,2112,-20,UA,N814UA,695,LGA,ORD,106,733,19,48
2013,11,17,2019,14,2335,25,B6,N531JB,1201,JFK,FLL,144,1069,20,19
2013,11,10,1907,7,2053,13,MQ,N857MQ,3591,LGA,RDU,68,431,19,7
2013,6,9,1534,-6,1721,-20,US,N738US,1899,LGA,CLT,87,544,15,34
2013,5,18,1707,-8,2020,-18,DL,N318NB,1863,JFK,SAT,220,1587,17,7
2013,11,13,2157,57,2355,27,DL,N984DL,1247,LGA,ATL,93,762,21,57
2013,1,16,1324,-6,1603,-2,DL,N3763D,2043,JFK,ATL,129,760,13,24
2013,10,3,1244,15,1516,18,UA,N441UA,352,EWR,LAS,306,2227,12,44
2013,10,26,543,-2,826,-29,AA,N624AA,2243,JFK,MIA,147,1089,5,43
2013,1,30,1020,-5,1232,1,EV,N607LR,5026,EWR,DTW,84,488,10,20
2013,1,15,1447,2,1657,23,EV,N15910,4596,EWR,STL,160,872,14,47
2013,11,28,835,-5,1114,-1,MQ,N518MQ,3419,LGA,ATL,114,762,8,35
2013,10,23,816,1,1046,-9,DL,N694DL,1429,JFK,LAS,303,2248,8,16
2013,1,1,1840,-5,2055,25,MQ,N725MQ,4517,LGA,CRW,96,444,18,40
2013,4,23,1955,30,2238,13,DL,N989DL,1485,LGA,MCO,128,950,19,55
2013,9,26,1058,-2,1352,-16,UA,N76505,1479,EWR,LAX,334,2454,10,58
2013,1,6,2056,6,2203,1,B6,N523JB,1020,JFK,BOS,45,187,20,56
2013,12,11,1725,-5,2031,-15,B6,N784JB,359,JFK,BUR,346,2465,17,25
2013,5,31,901,-5,1132,-31,UA,N461UA,224,EWR,IAH,180,1400,9,1
2013,10,27,1601,1,1914,-13,DL,N912DL,2280,JFK,FLL,153,1069,16,1
2013,1,8,1058,-2,1522,58,DL,N912DL,2044,LGA,MIA,152,1096,10,58
2013,9,30,1945,0,2233,-32,DL,N6705Y,1768,JFK,SLC,263,1990,19,45
2013,9,30,1822,-7,2003,-8,UA,N33266,1053,EWR,CLE,65,404,18,22
2013,3,5,1509,1,1825,27,UA,N66056,1674,EWR,IAH,205,1400,15,9
2013,11,12,1138,3,1507,28,DL,N318NB,1875,LGA,TPA,163,1010,11,38
2013,11,23,1257,-2,1403,-16,EV,N22971,6049,EWR,IAD,50,212,12,57
2013,1,25,1814,54,2020,65,AA,N3CXAA,1351,JFK,ORD,128,740,18,14
2013,9,14,742,-4,943,0,B6,N197JB,1273,JFK,CHS,101,636,7,42
2013,10,26,1457,2,1759,3,UA,N14731,1744,LGA,IAH,207,1416,14,57
2013,5,17,2014,0,2322,-2,UA,N850UA,729,EWR,MIA,140,1085,20,14
2013,1,24,1247,-12,1402,-18,EV,N15912,4158,EWR,RIC,59,277,12,47
2013,3,24,2151,50,102,63,UA,N581UA,794,EWR,FLL,151,1065,21,51
2013,7,4,1607,17,1757,-8,WN,N225WN,262,EWR,DEN,207,1605,16,7
2013,8,21,1458,-1,1740,-16,UA,N853UA,998,EWR,SAN,308,2425,14,58
2013,7,25,659,-11,918,3,MQ,N717MQ,3547,LGA,XNA,167,1147,6,59
2013,11,14,1629,-1,1739,-21,B6,N309JB,2302,JFK,BUF,58,301,16,29
2013,3,3,1505,15,1641,1,MQ,N835MQ,4403,JFK,RDU,68,427,15,5
2013,8,28,911,-4,1156,-34,AA,N5EYAA,647,JFK,MIA,135,1089,9,11
2013,10,10,1155,-5,1459,-16,UA,N512UA,766,JFK,SFO,345,2586,11,55
2013,10,9,1524,24,1638,7,UA,N439UA,258,EWR,ORD,97,719,15,24
2013,11,15,1718,-6,1959,6,UA,N536UA,509,LGA,DEN,240,1620,17,18
2013,3,2,1019,24,1352,55,B6,N618JB,503,EWR,FLL,176,1065,10,19
2013,1,5,1257,5,1545,-10,B6,N652JB,85,JFK,FLL,153,1069,12,57
2013,12,15,2119,4,2345,-3,EV,N17185,3810,EWR,ATL,115,746,21,19
2013,4,21,1954,145,2116,149,EV,N13988,4353,EWR,BNA,118,748,19,54
2013,5,31,1550,-10,1703,-15,US,N961UW,2134,LGA,BOS,41,184,15,50
2013,9,9,1434,-5,1537,-30,9E,N8423C,3712,JFK,BWI,39,184,14,34
2013,1,24,833,5,1107,2,B6,N283JB,611,JFK,JAX,113,828,8,33
2013,1,11,738,-2,1021,-24,UA,N73276,1179,EWR,TPA,141,997,7,38
2013,5,27,1433,51,1606,77,EV,N14953,3829,EWR,PWM,52,284,14,33
2013,2,7,557,-4,914,-4,UA,N12109,1030,JFK,LAX,346,2475,5,57
2013,3,26,1056,-4,1242,-23,DL,N361NB,1573,LGA,MEM,141,963,10,56
2013,2,15,1724,25,2106,31,UA,N36447,1237,EWR,SAT,245,1569,17,24
2013,7,18,1451,5,1726,-19,UA,N24729,1744,LGA,IAH,198,1416,14,51
2013,8,24,1529,1,1710,-30,EV,N16561,4352,EWR,CVG,86,569,15,29
2013,3,22,2121,-4,2245,-5,MQ,N515MQ,4660,LGA,BNA,124,764,21,21
2013,8,9,2111,111,2230,105,AA,N3FBAA,1762,JFK,BOS,50,187,21,11
2013,9,8,1017,-3,1246,-23,B6,N630JB,53,JFK,PBI,128,1028,10,17
2013,3,31,1323,-2,1641,-9,VX,N622VA,411,JFK,LAX,352,2475,13,23
2013,8,20,1408,21,1515,2,UA,N469UA,772,EWR,ORD,104,719,14,8
2013,11,11,1445,-5,1604,-12,9E,N8541D,2940,JFK,BWI,39,184,14,45
2013,12,4,1550,0,1715,5,WN,N7739A,421,EWR,MDW,126,711,15,50
2013,12,2,1652,-8,2005,-20,AA,N3HEAA,2379,LGA,MIA,160,1096,16,52
2013,7,30,1713,7,2105,-6,B6,N639JB,803,JFK,SJU,205,1598,17,13
2013,10,28,706,-4,1018,-7,AA,N335AA,1345,JFK,MIA,156,1089,7,6
2013,3,11,1650,-5,2032,5,DL,N324NB,1367,JFK,SAT,234,1587,16,50
2013,7,24,1323,-7,1628,-10,B6,N554JB,431,LGA,SRQ,145,1047,13,23
2013,5,19,1601,11,1857,-10,DL,N906DL,1982,LGA,MIA,138,1096,16,1
2013,8,2,653,-2,916,10,US,N672AW,433,EWR,PHX,281,2133,6,53
2013,2,15,1112,0,1309,-14,DL,N318NB,1573,LGA,MEM,157,963,11,12
2013,12,1,1058,-2,1222,12,MQ,N520MQ,3230,JFK,DCA,39,213,10,58
2013,2,28,2117,-8,2228,-22,MQ,N5PBMQ,4660,LGA,BNA,110,764,21,17
2013,10,2,1118,-12,1323,-11,US,N154UW,1951,LGA,CLT,83,544,11,18
2013,1,24,739,-1,925,-2,EV,N10575,4099,EWR,STL,150,872,7,39
2013,12,4,1507,-8,1644,-21,MQ,N618MQ,3231,JFK,PIT,67,340,15,7
2013,8,22,624,-6,831,-7,US,N162UW,2085,LGA,CLT,106,544,6,24
2013,8,17,1213,-6,1353,-28,EV,N11199,4567,EWR,MCI,146,1092,12,13
2013,3,27,840,5,1009,13,EV,N12540,4409,EWR,RIC,58,277,8,40
2013,8,27,1639,-6,1811,-16,B6,N374JB,2302,JFK,BUF,55,301,16,39
2013,4,16,1625,-7,1816,-8,EV,N13956,4411,EWR,MEM,140,946,16,25
2013,5,3,1514,44,1654,53,FL,N924AT,721,LGA,CAK,55,397,15,14
2013,5,10,931,31,1222,12,UA,N36444,1114,EWR,SEA,325,2402,9,31
2013,5,27,1434,-6,1617,-25,US,N538UW,1113,LGA,CLT,74,544,14,34
2013,12,18,803,18,1044,-16,AA,N3EJAA,1111,LGA,DFW,194,1389,8,3
2013,12,7,1737,-8,1902,-18,WN,N429WN,4161,LGA,MDW,131,725,17,37
2013,6,7,950,0,1218,-2,VX,N847VA,251,JFK,LAS,300,2248,9,50
2013,8,16,1810,5,2033,-7,DL,N3763D,569,JFK,ATL,119,760,18,10
2013,11,1,2000,-5,2125,-5,MQ,N521MQ,3604,EWR,ORD,114,719,20,0
2013,1,17,1644,9,1820,10,MQ,N0EGMQ,3695,EWR,ORD,128,719,16,44
2013,8,4,1443,-5,1634,-18,US,N564UW,1995,LGA,CLT,84,544,14,43
2013,4,8,1044,-3,1316,-31,UA,N464UA,251,EWR,IAH,187,1400,10,44
2013,8,27,1850,-10,2120,-34,UA,N13750,1128,LGA,IAH,163,1416,18,50
2013,4,1,1051,1,1354,-8,DL,N908DE,1903,LGA,SRQ,158,1047,10,51
2013,10,13,1641,-6,1905,4,EV,N13553,4294,EWR,SAV,102,708,16,41
2013,6,14,2338,43,58,39,B6,N304JB,112,JFK,BUF,57,301,23,38
2013,12,25,1310,-5,1631,-26,US,N679AW,456,JFK,PHX,294,2153,13,10
2013,3,24,2019,-6,2259,-30,UA,N512UA,771,JFK,LAX,307,2475,20,19
2013,5,8,922,2,1153,-32,AA,N494AA,1739,EWR,DFW,181,1372,9,22
2013,9,17,1554,-6,1749,-29,9E,N604LR,3540,JFK,MSP,146,1029,15,54
2013,2,5,1412,12,1518,15,US,N949UW,2130,LGA,BOS,32,184,14,12
2013,1,28,808,-9,1055,-32,DL,N353NW,1109,LGA,TPA,147,1010,8,8
2013,5,5,1315,0,1433,-2,MQ,N546MQ,3765,EWR,ORD,112,719,13,15
2013,10,14,2104,-2,2330,-24,UA,N476UA,475,EWR,IAH,180,1400,21,4
2013,9,3,725,45,834,24,WN,N298WN,465,LGA,MKE,107,738,7,25
2013,7,15,708,-7,845,-50,UA,N808UA,699,EWR,PHX,254,2133,7,8
2013,6,24,820,-10,1015,1,EV,N15555,5817,EWR,MEM,140,946,8,20
2013,7,5,654,-6,908,-21,DL,N900PC,1547,LGA,ATL,105,762,6,54
2013,6,15,626,-4,750,-14,UA,N563UA,753,EWR,CLE,62,404,6,26
2013,4,2,2139,39,2359,44,EV,N12569,3817,EWR,SDF,120,642,21,39
2013,11,17,1429,19,1626,10,B6,N281JB,1373,JFK,CHS,96,636,14,29
2013,6,15,1700,0,1833,-38,B6,N283JB,1085,JFK,CLT,74,541,17,0
2013,7,7,2209,69,227,135,DL,N3740C,2065,JFK,FLL,140,1069,22,9
2013,3,22,2205,65,3,77,EV,N13970,4672,EWR,STL,151,872,22,5
2013,10,6,2255,0,28,19,B6,N323JB,486,JFK,ROC,55,264,22,55
2013,2,10,2001,-4,2233,-25,UA,N405UA,405,EWR,MCO,130,937,20,1
2013,5,30,1806,46,2048,29,UA,N77296,1269,EWR,PBI,134,1023,18,6
2013,2,2,1831,1,2032,-15,DL,N326NB,1225,JFK,DTW,91,509,18,31
2013,5,23,639,-1,833,-34,UA,N464UA,311,EWR,DEN,214,1605,6,39
2013,7,6,1300,-10,1456,-31,EV,N608QX,4909,LGA,TVC,90,655,13,0
2013,3,13,800,10,946,5,EV,N14959,4099,EWR,STL,136,872,8,0
2013,9,15,2112,12,2246,3,EV,N13978,4672,EWR,STL,130,872,21,12
2013,11,7,2007,38,2335,41,UA,N76503,1078,EWR,SAT,239,1569,20,7
2013,2,2,558,-2,841,-17,UA,N73291,1627,EWR,PBI,145,1023,5,58
2013,7,26,856,-4,1159,2,DL,N935DL,1885,LGA,MCO,130,950,8,56
2013,5,28,1917,22,2107,17,MQ,N534MQ,4649,LGA,MSP,155,1020,19,17
2013,12,23,1335,21,1650,21,B6,N580JB,1639,LGA,RSW,167,1080,13,35
2013,7,24,904,-1,1217,-8,DL,N351NB,874,LGA,MIA,151,1096,9,4
2013,3,27,622,-8,755,-23,EV,N11551,4334,EWR,CMH,74,463,6,22
2013,11,22,1011,-4,1312,-18,DL,N302NB,1174,LGA,PBI,150,1035,10,11
2013,5,29,1450,-5,1749,-12,B6,N595JB,377,LGA,FLL,162,1076,14,50
2013,10,6,1832,-7,2202,6,UA,N554UA,389,JFK,SFO,333,2586,18,32
2013,10,25,749,-6,916,-19,MQ,N821MQ,3363,JFK,RDU,68,427,7,49
2013,12,31,1644,31,1948,35,B6,N805JB,283,JFK,MCO,155,944,16,44
2013,12,19,2012,32,2306,8,DL,N932DL,1435,LGA,TPA,144,1010,20,12
2013,12,10,1521,26,1801,71,MQ,N845MQ,3359,JFK,RDU,108,427,15,21
2013,10,14,1725,-4,2040,-25,VX,N631VA,193,EWR,SFO,345,2565,17,25
2013,7,31,1401,-5,1608,-3,EV,N14143,4181,EWR,MCI,158,1092,14,1
2013,11,3,1526,-3,1830,5,B6,N589JB,573,EWR,TPA,147,997,15,26
2013,12,4,1345,0,1536,-14,EV,N12569,4100,EWR,MEM,150,946,13,45
2013,2,15,2106,-1,2356,-3,UA,N73259,1692,EWR,MCO,151,937,21,6
2013,3,19,816,16,1146,21,UA,N525UA,397,JFK,SFO,357,2586,8,16
2013,8,9,755,0,1016,7,UA,N526UA,561,LGA,DEN,229,1620,7,55
2013,11,16,900,0,1129,0,DL,N935AT,394,EWR,ATL,119,746,9,0
2013,9,15,1708,168,1926,157,UA,N442UA,511,EWR,LAS,295,2227,17,8
2013,4,29,2011,-9,2223,-22,MQ,N504MQ,4662,LGA,ATL,102,762,20,11
2013,3,1,1559,-6,1754,4,MQ,N713MQ,4415,LGA,RDU,73,431,15,59
2013,8,12,1506,6,1802,7,AA,N5FHAA,1813,JFK,MCO,131,944,15,6
2013,5,13,1028,-9,1138,-15,EV,N10575,3826,EWR,BUF,48,282,10,28
2013,1,22,626,-4,843,-22,WN,N227WN,135,LGA,DEN,240,1620,6,26
2013,11,6,1613,30,1824,32,EV,N21130,4667,EWR,MSP,168,1008,16,13
